id,l_number,article_number,price_pp_chf,price_sp_chf,hero_image_url,very_short_description_de,short_description_de
3911,125043,2.14048694,57.05,188,images/WIN_P_2_wall_mounting_FAS_03_lp.jpg,A0307-94 SUPPORTO 1MT-WIN 02,Ausleger von 1 m Länge aus weissaluminium lackiertem robusten Stahlblech
3912,125041,2.14045694,25.9,105,images/WIN_p_wire_guard_FAS_04_lp.jpg,A0294-94 FRANGILUCE WIN 02,Lamellenraster aus weissaluminium lackiertem Stahl
3913,125039,2.3116518,21.05,90,images/Visiere WIN PRO 40 10gradi.png,VISIERA WIN PRO 30-10° GR94-ACC.,Visier WIN PRO 30 - 10°
3914,125038,2.3116517,23.05,96,images/Visiere WIN PRO 40 5gradi.png,VISIERA WIN PRO 30-5° GR94-ACC.,Visier WIN PRO 30 - 5°
3915,125044,2.14051394,49.4,172,images/WIN_P_2_pole_top_FAS_04_lp.jpg,"A0320/2-94 WIN 02-SUPP,DOPPIO",Doppelte Halterung aus weissaluminium lackiertem Aluminium
3916,125040,2.14045794,27.15,109,images/WIN_p_cowl_FAS_06.jpg,A0295-94 VISIERA WIN 02,Blendschutz aus weissaluminium lackiertem Aluminium
3917,125045,2.14047194,25.9,105,images/WIN_LED_p_pole_clamb_2_FAS_01.jpg,"A0259/2-94 ATT,PALO-STAFFA 35-",Gleitlagerung lackiertes Aluminium für Maste Durchm. Ø 60-76 mm 2 Leuchten
3918,125047,2.3116935,15.8,74,images/Visiere WIN PRO 40 10gradi.png,VISIERA WIN PRO 20-10° GR94-ACC. ,Visier WIN PRO 20 - 10°
3919,125049,2.14048104,9.3,36,images/WIN_p_bracket _FAS_03_lp.jpg,A0305-STAFFA INOX WIN 01,Edelstahlbügel zur Vermeidung von Rostflecken auf der Installationsoberfläche
3920,125046,2.3116934,13.8,68,images/Visiere WIN PRO 40 5gradi.png,VISIERA WIN PRO 20-5° GR94-ACC.,Visier WIN PRO 20 - 5°
3921,125048,2.14043194,19.85,86,images/WIN_LED_p_cowl_FAS_06.jpg,A0285-94 VISIERA WIN 01,Blendschutz aus lackiertem Aluminium (Farbe: Weissaluminium)
3922,125050,2.14043394,29.15,115,images/WIN_P_1_wall_bracket _FAS_01_lp.jpg,A0287/500-94 SBRACCIO WIN 01-PARETE,Ausleger 500 mm Länge aus weissaluminium lackiertem Stahlblech zur Wandmontage
3923,125051,2.14453380,22.7,95,images/GUELL_A0664_500_FA_01.jpg,A0664/500-80 BASE WITH ARM 500 GUELL 0,500 mm Wandausleger mit Anschlusssockel GUELL ZERO
3924,125052,2.14465794,29.55,116,images/A0697-94_FA_01.jpg,A0697-94 SOFT GLASS FOR GUELL4,Mattglas GUELL 4
3925,125053,2.14452894,19.85,86,images/VISOR+GR-94.webp,A0666-94 LIGHTHOOD FOR GUELL 3,Visier A/40W
3926,125054,2.3102585,21.85,92,images/VISOR+GR-94.webp,VISIERA GUELL 3/4 A50 GR-94,Schirm GUELL 3-4 A50/W
3927,125055,2.14452702,14.55,70,images/guell2_schutzgitter.jpg,A0665 PROTECTION GRID GUELL 3+4,Schutzgitter
3928,125056,2.14453994,43.3,153,images/14453994_GUELL3_lp.jpg,A0672/1000-94 1MT WALL/CEILING BRACKET,1000 mm Wandausleger mit Anschlusssockel
