name,manufacturer,category,family,price_chf,wattage,kelvin,inside,outside,mounting,luminaire_types,image_url,product_id,source_article_id,source_article_number,kelvin_values,source_l_number,source_version,memory_type,lambda,style,mood,finish
KHA CITY 26  23 C/EW  830 AN96 DALI,Performance In Lighting - Italy,,,1422.0,23.0,3000.0,False,True,,bollard_luminaire,https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/KHA_CITY_26_AN96_lp.jpg,article_1202,1202,2.3114913,3000,112343,1,hard,0.01,minimalist,ambient,white
WIN PRO 30 250 A35/W  730 GR94,Performance In Lighting - Italy,Scheinwerfer,Win Pro,998.0,252.0,3000.0,True,True,wall,"down_light, outdoor, spot_light",https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/WIN_PRO_30_96led_lp.jpg,article_1203,1203,2.3114600,3000,112047,1,hard,0.01,minimalist,ambient,white
WIN PRO 30 130 S/EW  740 GR94 ZHU,Performance In Lighting - Italy,Scheinwerfer,Win Pro,998.0,130.0,4000.0,True,True,wall,"down_light, outdoor, spot_light",https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/WIN_PRO_30_64led_lp.jpg,article_1204,1204,2.3114550,4000,112039,1,hard,0.01,minimalist,focused,white
WIN PRO 30 250 A35/W  740 GR94 ZHU,Performance In Lighting - Italy,Scheinwerfer,Win Pro,1422.0,252.0,4000.0,True,True,wall,"down_light, outdoor, spot_light",https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/WIN_PRO_30_96led_lp.jpg,article_1205,1205,2.3114610,4000,112046,1,hard,0.01,minimalist,focused,white
WIN PRO 30 130 S/EW  730 GR94,Performance In Lighting - Italy,Scheinwerfer,Win Pro,716.0,130.0,3000.0,True,True,wall,"down_light, outdoor, spot_light",https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/WIN_PRO_30_64led_lp.jpg,article_1206,1206,2.3114540,3000,112040,1,hard,0.01,minimalist,ambient,white
WIN PRO 30 190 A35/W  730 GR94 DALI,Performance In Lighting - Italy,Scheinwerfer,Win Pro,1070.0,195.0,3000.0,True,True,wall,"down_light, outdoor, spot_light",https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/WIN_PRO_30_96led_lp.jpg,article_1207,1207,2.3114567,3000,112056,1,hard,0.01,minimalist,ambient,white
WIN PRO 30 130 S/EW  730 GR94 ZHU,Performance In Lighting - Italy,Scheinwerfer,Win Pro,998.0,130.0,3000.0,True,True,wall,"down_light, outdoor, spot_light",https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/WIN_PRO_30_64led_lp.jpg,article_1208,1208,2.3114549,3000,112043,1,hard,0.01,minimalist,ambient,white
WIN PRO 30 190 A35/W  740 GR94,Performance In Lighting - Italy,Scheinwerfer,Win Pro,929.0,195.0,4000.0,True,True,wall,"down_light, outdoor, spot_light",https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/WIN_PRO_30_96led_lp.jpg,article_1209,1209,2.3114565,4000,112051,1,hard,0.01,minimalist,focused,white
WIN PRO 30 190 A35/W  730 GR94 ZHU,Performance In Lighting - Italy,Scheinwerfer,Win Pro,1211.0,195.0,3000.0,True,True,wall,"down_light, outdoor, spot_light",https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/WIN_PRO_30_96led_lp.jpg,article_1210,1210,2.3114573,3000,112058,1,hard,0.01,minimalist,ambient,white
WIN PRO 30 250 A35/W  730 GR94 RPA,Performance In Lighting - Italy,Scheinwerfer,Win Pro,1139.0,252.0,3000.0,True,True,wall,"down_light, outdoor, spot_light",https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/WIN_PRO_30_96led_lp.jpg,article_1211,1211,2.3114606,3000,112049,1,hard,0.01,minimalist,ambient,white
WIN PRO 30 130 S/EW  730 GR94 RPA,Performance In Lighting - Italy,Scheinwerfer,Win Pro,829.0,130.0,3000.0,True,True,wall,"down_light, outdoor, spot_light",https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/WIN_PRO_30_64led_lp.jpg,article_1212,1212,2.3114546,3000,112042,1,hard,0.01,minimalist,ambient,white
WIN PRO 30 190 A35/W  740 GR94 DALI,Performance In Lighting - Italy,Scheinwerfer,Win Pro,1070.0,195.0,4000.0,True,True,wall,"down_light, outdoor, spot_light",https://xgjiulkqwqxprgvlzpld.supabase.co/storage/v1/object/public/pim/opt/LO/LOwebserver/images/WIN_PRO_30_96led_lp.jpg,article_1213,1213,2.3114568,4000,112052,1,hard,0.01,minimalist,focused,white
